"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.398641782E2,4.736398908E1,8.513095981E0,4.336978338E2,1.625743338E0,2.891151625E2,1.776473785E1,9.895590575E0
1.408641846E2,4.736398719E1,8.513057548E0,4.335757551E2,2.388521013E0,2.790278324E2,1.711973659E1,9.974902203E0
1.418641868E2,4.736399322E1,8.513024905E0,4.338240986E2,2.568247756E0,2.816195528E2,1.650926253E1,9.727577489E0
1.428641932E2,4.736400370E1,8.512999434E0,4.336825196E2,2.403456384E0,2.828516043E2,1.606310705E1,9.858822565E0
1.438641897E2,4.736401182E1,8.512966171E0,4.327815662E2,2.477154439E0,2.845120309E2,1.555664691E1,9.635225431E0
1.448641965E2,4.736402105E1,8.512936613E0,4.334258116E2,2.446710507E0,2.851293955E2,1.498749956E1,9.271003634E0
1.458642043E2,4.736401981E1,8.512912579E0,4.333132875E2,2.203118732E0,2.821822035E2,1.442167483E1,8.793178593E0
1.468642001E2,4.736401982E1,8.512875261E0,4.332044046E2,2.486186130E0,2.746204048E2,1.396874370E1,8.693862383E0
1.478641990E2,4.736402823E1,8.512849179E0,4.334345605E2,2.195076718E0,2.847849420E2,1.339403518E1,9.023500035E0
1.488642023E2,4.736403335E1,8.512815929E0,4.330666932E2,2.315373035E0,2.849485057E2,1.290860078E1,8.675697189E0
1.498641995E2,4.736403291E1,8.512788672E0,4.334252451E2,2.139066476E0,2.771047854E2,1.251686255E1,8.388542877E0
1.508641969E2,4.736404388E1,8.512758908E0,4.329225299E2,2.253537981E0,2.875934348E2,1.220901121E1,8.140525188E0
1.518642009E2,4.736405269E1,8.512729559E0,4.330135519E2,2.201111636E0,2.926941887E2,1.189037192E1,8.061004053E0
1.528642094E2,4.736404290E1,8.512703354E0,4.332100315E2,1.988897015E0,2.705879014E2,1.146172237E1,7.868927421E0
1.538642158E2,4.736404439E1,8.512676357E0,4.331866372E2,2.078735310E0,2.711130422E2,1.110415952E1,7.749730666E0
1.548642225E2,4.736404767E1,8.512646885E0,4.337075178E2,2.190107989E0,2.721601443E2,1.092441360E1,7.855841424E0
1.558642291E2,4.736404700E1,8.512619789E0,4.337878746E2,2.122896872E0,2.738135359E2,1.075385059E1,7.905260720E0
1.568642355E2,4.736405742E1,8.512591547E0,4.338734268E2,2.115002448E0,2.863570342E2,1.060498721E1,7.392910059E0
1.578642425E2,4.736406594E1,8.512562337E0,4.337287100E2,2.164739163E0,2.934593538E2,1.032840342E1,7.123624809E0
1.588642489E2,4.736406526E1,8.512526543E0,4.335695899E2,2.204939605E0,2.851230625E2,1.013628244E1,7.061049835E0
1.598642548E2,4.736406719E1,8.512496782E0,4.338554538E2,2.057573887E0,2.828536924E2,9.874093098E0,6.826410470E0
1.608642613E2,4.736404254E1,8.512474238E0,4.328220826E2,1.873683706E0,2.436177972E2,9.704836159E0,6.505824364E0
1.618642678E2,4.736405859E1,8.512439715E0,4.317936550E2,1.917583033E0,2.726662758E2,9.600540133E0,6.354542595E0
1.628642738E2,4.736406483E1,8.512411026E0,4.326250366E2,2.008127665E0,2.710850795E2,9.524025738E0,6.449629041E0
1.638642793E2,4.736407275E1,8.512383814E0,4.329623921E2,1.999135496E0,2.813808535E2,9.237074000E0,6.005970003E0
1.648642846E2,4.736408152E1,8.512352243E0,4.330847687E2,2.080514295E0,2.857534067E2,9.097061886E0,5.949520459E0
1.658642914E2,4.736409016E1,8.512326557E0,4.335158005E2,1.968381510E0,2.864171303E2,8.952844339E0,5.947248045E0
1.668642964E2,4.736409705E1,8.512297629E0,4.333064519E2,2.046516348E0,2.879642325E2,8.784872912E0,5.957584256E0
1.678643025E2,4.736409945E1,8.512272183E0,4.337491600E2,1.905064570E0,2.902546448E2,8.604872179E0,5.864449069E0
1.688643084E2,4.736410947E1,8.512240752E0,4.345100930E2,2.022745407E0,2.887839294E2,8.541606133E0,5.835854471E0
1.698643131E2,4.736412622E1,8.512218135E0,4.344595602E2,2.085345994E0,3.108922094E2,8.344419771E0,5.755861570E0
1.708643193E2,4.736413233E1,8.512193834E0,4.346509495E2,1.894460882E0,3.031828868E2,8.241118874E0,5.573826446E0
1.718643248E2,4.736412984E1,8.512161195E0,4.349265053E2,1.921591289E0,2.853399852E2,8.148163691E0,5.425614731E0
1.728643299E2,4.736414162E1,8.512133108E0,4.341908235E2,2.039494518E0,2.888171417E2,8.130275577E0,5.549675370E0
1.738643360E2,4.736414083E1,8.512100716E0,4.348428019E2,2.078699843E0,2.760581767E2,7.982165192E0,5.520446891E0
1.748643402E2,4.736414962E1,8.512066856E0,4.354304374E2,2.111789361E0,2.782076159E2,7.945247482E0,5.477743711E0
1.758643460E2,4.736415419E1,8.512041991E0,4.360096220E2,1.950741532E0,2.794267697E2,7.809733636E0,5.312121993E0
1.768643516E2,4.736416242E1,8.512013305E0,4.354391941E2,1.955624237E0,2.905605199E2,7.658603301E0,5.344319024E0
1.778643575E2,4.736416835E1,8.511990838E0,4.366233990E2,1.812790766E0,2.943032161E2,7.479806895E0,5.021439866E0
1.788643619E2,4.736416275E1,8.511952652E0,4.359461739E2,1.988374869E0,2.802511607E2,7.340169931E0,4.905700858E0
1.798643681E2,4.736415858E1,8.511922161E0,4.367589034E2,1.949879326E0,2.648602223E2,7.337353015E0,4.800744211E0
1.811428460E2,4.736420072E1,8.511795766E0,4.362784072E2,1.139955411E-1,NaN,1.255774247E1,6.512048121E0
1.821428496E2,4.736419497E1,8.511806039E0,4.368155615E2,4.886232222E-1,NaN,1.306669173E1,6.839184566E0
1.831428547E2,4.736419439E1,8.511830371E0,4.366496328E2,5.788915998E-1,NaN,1.288886185E1,7.032175682E0
1.841428600E2,4.736419319E1,8.511880937E0,4.360782658E2,1.875411518E0,8.721688118E1,1.297480886E1,7.231868198E0
1.851428651E2,4.736418085E1,8.511925887E0,4.356765290E2,2.492777801E0,9.925686582E1,1.326094803E1,7.696574643E0
1.861428693E2,4.736416369E1,8.511954819E0,4.357641890E2,2.364824007E0,1.114486013E2,1.324185703E1,7.771642582E0
1.871428749E2,4.736416136E1,8.511985335E0,4.352197545E2,2.287546131E0,1.062452054E2,1.277980000E1,7.594546777E0
1.881428795E2,4.736414909E1,8.512018216E0,4.355370063E2,2.308565528E0,1.057652345E2,1.240702907E1,7.515180748E0
1.891428844E2,4.736414923E1,8.512061506E0,4.352989112E2,2.514709006E0,9.899912570E1,1.211225279E1,7.629951824E0
